,overall,style,reviewText,summary
280,4,{'Format:': ' DVD'},"['though', 'recall', 'rather', 'excellent', 'film', 'peter', 'chattaway', 'tells', 'us', 'disparate', 'elements', 'woven', 'joseph', 'story', 'without', 'sacrificing', 'film', 'dramatic', 'unity', 'result', 'unexpectedly', 'coherent', 'even', 'poignant', 'rich', 'three', 'hour', 'epic', 'one', 'could', 'want', 'television', 'complex', 'challenging', 'convincing', 'enough', 'emotional', 'power', 'draw', 'world', 'enough', 'realism', 'make', 'want', 'stay', 'review', 'bible', 'collection', 'patheos', 'dot', 'com', '1996']",Joseph
281,4,{'Format:': ' DVD'},"['believable', 'telling', 'story', 'respecting', 'exceptional', 'performances', 'stellar', 'cast', 'great', 'price']",One of the standout movies in an exceptional series
282,4,{'Format:': ' DVD'},"['liked', 'movie', 'except', 'one', 'scene', 'potipher', 'wife', 'seducing', 'joseph', 'hard', 'time', 'resisting', 'first', 'whereas', 'biblically', 'think', 'stronger', 'really', 'like', 'actor', 'playing', 'potipher', 'scene', 'mentioned', 'hesitant', 'allow', 'younger', 'children', 'view', 'done', 'excellently']",Pretty Good Movie
283,3,{'Format:': ' DVD'},"['seduction', 'scene', 'potiphar', 'wife', 'movie', 'would', 'excellent', 'scene', 'sensual', 'borderline', 'r', 'rated', 'book', 'almost', 'shut', 'scene', 'actual', 'biblical', 'account', 'jospeh', 'running', 'leaving', 'garment', 'behind', 'scene', 'potiphar', 'wife', 'joins', 'bathing', 'room', 'pool', 'clearly', 'erotically', 'reaches', 'hands', 'water', 'strokes', 'private', 'parts', 'flee', 'time', 'scene', 'ruined', 'movie', 'us', 'though', 'enjoyed', 'movies', 'series', 'keep', 'movie', 'one', 'scene', 'bad']",A little too sensual for us to keep this one.
284,1,{'Format:': ' DVD'},"['acting', 'good', 'story', 'correct', 'naked', 'backsides', 'necessary', 'also', 'potiphers', 'wife', 'need', 'seductive', 'naked', 'joseph', 'christian', 'movie', 'felt', 'even', 'though', 'probably', 'portrayed', 'truthfully', 'christans', 'need', 'see', 'explicit', 'scene', 'rated', 'pg', '13', 'least']",Nakedness not necessary!
285,4,{'Format:': ' DVD'},"['telling', 'story', 'joseph', 'tnt', 'bible', 'collection', 'good', 'although', 'certain', 'liberties', 'taken', 'account', 'fleshed', 'bible', 'impact', 'overall', 'telling', 'story', 'keeping', 'bible', 'reveals', 'use', 'joseph', 'telling', 'early', 'history', 'brothers', 'came', 'slave', 'egypt', 'done', 'flashback', 'actually', 'enhanced', 'dramatic', 'telling', 'story', 'nicely', 'done', 'mostly', 'true', 'bible', 'account']",Nicely done depiction of the story of Joseph
286,2,{'Format:': ' DVD'},"['film', 'closer', 'biblical', 'text', 'account', 'yet', 'seen', 'emotional', 'encouraging', 'well', 'long', 'film', 'long', 'real', 'problem', 'meaning', 'unacceptable', 'bath', 'tub', 'scene', 'joseph', 'seen', 'waist', 'pool', 'relazing', 'bathing', 'comes', 'boss', 'wife', 'sexually', 'potiphar', 'wife', 'seductively', 'rubs', 'chest', 'music', 'sound', 'effects', 'going', 'along', 'seductivity', 'goes', 'water', 'waist', 'connects', 'genitals', 'yes', 'real', 'joseph', 'shown', 'react', 'moment', 'ever', 'slightly', 'leaves', 'alone', 'next', 'time', 'confronts', 'film', 'years', 'thought', 'awesomely', 'biblical', 'compared', 'film', 'movie', 'never', 'noticed', 'part', 'year', 'younger', 'children', 'time', 'inferred', 'sexual', 'tension', 'rubbing', 'shoulders', 'bath', 'tub', 'pool', 'something', 'simply', 'pass', 'w', 'fast', 'fwd', 'button', 'mere', 'several', 'seconds', 'year', 'whoooah', 'shocked', 'transpired', 'moments', 'show', 'water', 'play', 'moment', 'big', 'time', 'let', 'know', 'happening', 'reason', 'say', 'buy', 'movie', 'unless', 'edit', 'film', 'vcr', 'simply', 'tab', 'edit', 'tab', 'vcr', 'tape', 'record', 'whole', 'minute', 'two', 'one', 'moment', 'hurt', '3', 'plus', 'hour', 'long', 'film', 'truly', 'shame', 'film', 'makers', 'snuck', 'scene', 'degree', 'simply', 'could', 'ended', 'woman', 'rubbing', 'joseph', 'shoulders', 'flirtation', 'showing', 'constant', 'pursuit', 'played', 'moment', 'way', 'time', 'however', 'stuck', 'little', 'leaven', 'satisfy', 'hollywood', 'leaven', 'whole', 'loaf', 'making', 'clear', 'touching', 'genitals', 'bit', 'helpless', 'deal', 'tempation', 'moments', 'cheap', 'move', 'film', 'makers', 'reminds', 'sampson', 'film', 'put', 'bible', 'collection', 'film', 'makers', 'totally', 'trashy', 'taking', 'sexuality', 'way', 'overboard', 'sampson', 'screen', 'buy', 'family', 'apalled', 'say', 'edit', 'movie', 'buy']","if you can edit 1 scene, BUY THIS!"
287,4,{'Format:': ' VHS Tape'},"['overall', 'enjoyed', 'movie', 'espescially', 'ending', 'casting', 'great', 'okay', 'fine', 'josephs', 'former', 'master', 'white', 'woman', 'played', 'part', 'well', 'thought', 'sexually', 'explicit', 'scenes', 'give', 'break', 'sexually', 'explicit', 'scenes', 'scene', 'joseph', 'bath', 'tempted', 'potiphar', 'wife', 'different', 'man', 'woman', 'dealing', 'sexual', 'thoughts', 'temptations', 'daily', 'powerful', 'scene', 'would', 'give', 'christian', 'spirit', 'visual', 'illustration', 'pressure', 'joseph', 'felt', 'especially', 'liked', 'line', 'said', 'please', 'push', 'limits', 'body', 'bear', 'added', 'scenes', 'take', 'anything', 'away', 'movie', 'gave', 'dimension', 'take', '1', 'star', 'away', 'think', 'scene', 'brother', 'slept', 'prostitute', 'turned', 'brothers', 'wife', 'whatever', 'necessary', 'besides', 'one', 'two', 'minor', 'things', 'overall', 'thought', 'great', 'film', 'reunion', 'end', 'well', 'acted', 'critics', 'harping', 'sexually', 'explicit', 'blah', 'blah', 'gim', 'break', 'sexually', 'explicit', 'scenes', 'film', 'everything', 'pg', '13', 'lower', 'call', 'sexually', 'explicit', 'censoring', 'songs', 'solomon', 'bible', 'gives', 'steamy', 'accounts', 'solomon', 'lover', 'better', 'yet', 'censor', 'jesus', 'christs', 'crucifixion', 'r', 'rated', 'beaten', 'flogged', 'nailed', 'cross', 'seems', 'r', 'rated', 'christianity', 'focuses', 'heart', 'appearances', 'lets', 'appreciate', 'great', 'adaptation', 'joseph', 'life', 'great', 'film']",Great depiction!
288,4,{'Format:': ' DVD'},"['one', 'best', 'movie', 'old', 'testament', 'biblical', 'story', 'problem', 'nude', 'scene', 'joseph', 'nude', 'water', 'think', 'could', 'left', 'story', 'would', 'perfect']",Wonderful Story
289,4,{'Format:': ' DVD'},"['truly', 'wonderfully', 'made', 'film', 'mostly', 'accurate', 'scripture', 'brilliantly', 'acted', 'joseph', 'brothers', 'stars', 'right', 'paul', 'mecurio', 'fine', 'form', 'well']",Wonderful!!!
290,4,{'Format:': ' VHS Tape'},"['four', 'hour', 'video', 'looks', 'familiar', 'joseph', 'story', 'bible', 'wonderful', 'twists', 'first', 'jumps', 'egyptian', 'setting', 'second', 'actors', 'great', 'job', 'roles', 'want', 'say', 'brava', 'leslie', 'ann', 'warren', 'making', 'potiphar', 'wife', 'engaging', 'even', 'scary', 'original', 'tale', 'suggests', 'finally', 'customs', 'backgrounds', 'best', 'yet', 'seen', 'film', 'version', 'tale', 'however', 'four', 'star', 'rating', 'refers', 'flashback', 'section', 'film', 'yes', 'happens', 'makes', 'sense', 'internally', 'need', 'spend', 'much', 'time', 'sad', 'paul', 'mercurio', 'careers', 'seems', 'turned', 'onto', 'b', 'grade', 'track', 'think', 'excellent', 'movie', 'also', 'exit', 'eden']","Great beginning, great ending"
291,4,{'Format:': ' VHS Tape'},"['tnt', 'movies', 'one', 'actually', 'weakest', 'still', 'good', 'movie', 'movie', 'covers', 'period', 'esau', 'sold', 'birthright', 'blessing', 'jacob', 'time', 'laban', 'finally', 'confrontation', 'laban', 'later', 'esau', 'disappointment', 'movie', 'focus', 'rachel', 'lessons', 'god', 'teaching', 'kind', 'talked', 'focused', 'non', 'scriptural', 'parts', 'though', 'pretty', 'consistent', 'early', 'near', 'eastern', 'customs', 'contrary', 'scriptural', 'understanding', 'way', 'good', 'choose', 'watch', 'movie', 'find', 'wishing', 'good', 'movie', 'well', 'produced', 'sure', 'base', 'much', 'theology', 'movie', 'solid', 'pg', 'movie']","A good movie, fun for a Saturday afternoon"
292,3,{'Format:': ' DVD'},"['songs', 'good', 'need', 'bit', 'diversity', 'would', 'like', 'kids', 'see', 'kids', 'look', 'like', 'random', 'passing', 'image']",Songs are good but need a bit more diversity.
294,1,{'Format:': ' DVD'},"['sing', 'along', 'dvd', 'difficult', 'understand', 'words', 'sung', 'would', 'recommend']",Not a sing along
295,4,{'Format:': ' DVD'},"['20', 'month', 'old', '4', '5', 'year', 'old', 'love', 'video', 'contains', 'many', 'favorite', 'bible', 'songs', 'remember', 'childhood', 'music', 'singing', 'good', 'quality', 'scenes', 'behind', 'music', 'interesting', 'children', 'playing', 'acting', 'words', 'like', 'rock', 'climbing', 'climb', 'sunshine', 'mountain', 'even', 'farm', 'full', 'animals', 'noah', 'song', 'unfortunately', 'songs', 'feature', 'actions', 'hand', 'motions', 'body', 'movement', 'make', 'songs', 'favorites', 'children', 'shame', 'primary', 'reason', 'bought', 'dvd', 'encourage', 'full', 'body', 'participation', 'movement', 'instead', 'passive', 'viewing', 'still', 'production', 'good', 'quality', 'overproduced', 'grating', 'like', 'dvd', 'name', 'golden', 'books', 'kids', 'leave', 'walk', 'away', 'actually', 'makes', 'decent', 'background', 'music', 'children', 'music', 'goes', 'sure', 'best', 'children', 'music', 'dvd', 'yes', 'even', 'popular', 'kids', 'wiggles', 'find', 'dvd', 'action', 'bible', 'songs', 'actually', 'features', 'actions']","Our kids love it -- but where are the ""actions""?"
296,4,{'Format:': ' DVD'},"['film', 'classic', 'true', 'story', 'son', 'god', 'taken', 'entirely', 'gospel', 'luke', 'also', 'recommend', 'video', 'called', 'gospel', 'john', 'get', '3', 'hour', 'version', 'totally', 'worth', 'gospel', 'john', '5', 'star', 'film']",A classic true story!
297,3,{'Format:': ' DVD'},"['initially', 'moved', 'film', 'saw', 'theatrical', 'release', 'simplistic', 'realistic', 'retelling', 'gospel', 'luke', 'thirty', 'years', 'later', 'resonate', 'well', 'recent', 'productions', 'storyline', 'emotional', 'awestruck', 'better', 'photography', 'musical', 'scores', 'version', 'jesus', 'pure', 'bread', 'butter', 'version', 'especially', 'suited', 'yet', 'familiar', 'teachings', 'jesus', 'need', 'initiation', 'presented', 'plain', 'simple', 'way', 'years', 'ago', 'evangelical', 'production', 'company', 'created', 'wrap', 'around', 'version', 'film', 'centered', 'conversion', 'mary', 'magdaline', 'oddly', 'enough', 'seemed', 'affecting', 'original']","A fine, no-nonsense telling of the Gospel of Luke"
298,3,{'Format:': ' DVD'},"['bought', 'movie', 'advice', 'many', 'jewish', 'traditions', 'shown', 'depiction', 'christ', 'movie', 'faithful', 'high', 'tech', 'miracles', 'usually', 'explained', 'viewer', 'expected', 'know', 'happened', 'good', 'telling', 'league', 'greatest', 'story', 'ever', 'told']",Good and Faithful telling of Christ
299,4,{'Format:': ' DVD'},"['visual', 'bible', 'matthew', 'word', 'word', 'excellent', 'compared', 'complete', 'message', 'great', 'film', 'invites', 'decision', 'concerning', 'christ']",I am spoiled by newer films that present this fabulous story with more authenticity.
300,4,{'Format:': ' DVD'},"['enjoy', 'movie', 'seemed', 'follow', 'scripture', 'well', 'shared', 'movie', 'parents', 'already', 'different', 'jacket', 'sure', 'anyone', 'like', 'movie', 'good', 'family', 'members']",Jesus
301,4,{'Format:': ' DVD'},"['jesus', '1979', 'film', 'starring', 'brian', 'deacon', 'role', 'jesus', 'version', 'based', 'gospel', 'according', 'luke', 'accurate', 'one', 'reads', 'gospel', 'along', 'whilst', 'watching', 'film', 'one', 'see', 'done', 'great', 'job', 'film', 'however', 'problems', 'instance', 'music', 'sounds', 'cheap', 'sometimes', 'editing', 'feels', 'less', 'professionally', 'done', 'brian', 'deacon', 'good', 'role', 'jesus', 'plays', 'role', 'conviction', 'ending', 'great', 'could', 'left', 'even', 'quite', 'good', 'film', 'recommended', '4', '5']",Jesus
302,3,{'Format:': ' DVD'},"['nice', 'teaching', 'tool', 'message', 'clear', 'even', 'though', 'production', 'values', 'low', 'looks', 'sounds', 'like', 'episode', 'little', 'house', 'prairie', 'definitely', 'major', 'motion', 'picture', 'epic', 'well', 'telling', 'story', 'jesus', 'son', 'man', 'born', 'son', 'god', 'nothing', 'nothing', 'less']",Unadorned and precise
303,3,{'Format:': ' DVD'},"['told', 'gospel', 'luke', 'nice', 'story', 'slightly', 'dated', 'saw', 'used', 'dollars', 'might', 'pick']",Told from the Gospel of Luke.
304,3,{'Format:': ' DVD'},"['wanted', 'dvd', 'movie', 'way', 'saw', 'cable', 'tv', 'nooooooooo', 'ruin', 'movie', 'tagging', '5', 'minute', 'preachy', 'ask', 'jesus', 'life', 'message', 'omitted', 'written', 'scripture', 'scrolled', 'screen', 'end', 'film', 'astronomy', 'back', 'drop']",I WANTED TO GIVE IT FOUR STARS
305,3,{'Format:': ' VHS Tape'},"['huge', 'success', 'nbsp', 'data', 'hook', 'product', 'link', 'linked', 'class', 'link', 'normal', 'href', 'jesus', 'nazareth', 'dp', 'b0000633qw', 'ref', 'cm', 'cr', 'arp', 'rvw', 'txt', 'ie', 'utf8', 'jesus', 'nazareth', 'nbsp', '1977', 'inspirational', 'film', 'distributors', 'inc', 'presented', 'genesis', 'project', 'production', 'jesus', '1979', 'beginning', 'tell', 'film', 'documentary', 'taken', 'entirely', 'gospel', 'luke', 'chapters', '3', '24', 'film', 'translated', 'many', 'languages', 'still', 'film', 'fast', 'paced', 'fast', 'much', 'storytelling', 'told', 'leave', 'many', 'years', 'fully', 'explain', 'dramatize', 'important', 'details', 'filmed', 'israel', 'film', 'include', 'jesus', 'alive', 'arisen', 'tomb', 'spoke', 'diciples', '40', 'days', 'ascended', 'clouds', 'earth', 'heaven', 'condemning', 'film', 'version', 'know', 'film', 'helped', 'many', 'people', 'believe', 'god', 'jesus', 'many', 'countries', 'really', 'depth', 'detailed', 'emotional', 'account', 'life', 'jesus', 'highly', 'recommend', 'nbsp', 'data', 'hook', 'product', 'link', 'linked', 'class', 'link', 'normal', 'href', 'jesus', 'nazareth', 'dp', 'b0000633qw', 'ref', 'cm', 'cr', 'arp', 'rvw', 'txt', 'ie', 'utf8', 'jesus', 'nazareth', 'nbsp', '1977']","Brian Deacon plays ""Jesus"".  Cures the possessed man."
306,2,{'Format:': ' DVD'},"['slavishly', 'faithful', 'gospel', 'luke', 'numbers', 'retelling', 'jesus', 'life', 'never', 'develops', 'dramatic', 'momentum', 'cinema', 'plain', 'dull', 'photography', 'washed', 'even', 'film', 'new', 'zoom', 'lens', 'overused', 'special', 'effects', 'minimal', 'get', 'really', 'cheesy', 'everything', 'exposition', 'terribly', 'competent', 'exposition', 'continuity', 'gaffes', 'create', 'unintentional', 'hilarity', 'example', 'jesus', 'dips', 'head', 'water', 'total', 'immersion', 'baptism', 'hair', 'never', 'seems', 'get', 'wet', 'miracle', 'read', 'folks', 'extras', 'fun', 'including', 'short', 'documentary', 'jesus', 'film', 'project', 'carts', 'particular', 'film', 'around', 'world', 'evangelical', 'tool', 'especially', 'surreal', 'hour', 'long', 'compendium', 'pious', 'testimonials', 'luminaries', 'george', 'bush', 'xli', 'david', 'copperfield', 'huh', 'soft', 'adequate', 'full', 'frame', 'transfer', 'dvd', 'leave', 'significant', 'information', 'suspect', 'film', 'shot', 'open', 'matte', 'many', 'compositions', 'inept', 'swear', 'cropped', 'sides', 'anyway', 'catholics', 'beware', 'film', 'presents', 'protestant', 'american', 'jesus', 'emphasis', 'personal', 'relationship', 'god', 'faith', 'concepts', 'mother', 'church', 'could', 'find', 'potentially', 'heretical', 'surprise', 'though', 'considering', 'film', 'financed', 'leader', 'campus', 'crusade', 'christ']",Paved with good intentions
307,4,{'Format:': ' DVD'},"['begin', 'review', 'must', 'state', 'something', 'translated', '700', 'languages', 'film', 'seen', '4', 'billion', 'people', 'since', 'release', '1979', '60', 'million', 'saw', 'dedicated', 'lives', 'blessed', 'savior', 'review', 'really', 'good', 'film', 'power', 'truly', 'change', 'lives', 'brian', 'deacon', 'shines', 'jesus', 'things', 'detract', 'film', 'mediocre', 'acting', 'supporting', 'cast', 'choppy', 'editing', 'truly', 'mesmerizing', 'movie', 'experience', 'best', 'film', 'version', 'gospels', '2000', 'miniseries', 'version', 'starring', 'jeremy', 'sisto', 'also', 'mel', 'gibson', 'film', 'passion', 'really', 'good', 'decide', 'see', 'easter', 'note', '120', 'minute', 'version', 'prefer', '83', 'minute', 'version', 'film', 'grade', 'b']",THE MOST WATCHED MOVIE IN HISTORY!
308,3,{'Format:': ' DVD'},"['accurate', 'telling', 'gospel', 'according', 'luke', 'concerns', 'movie', 'portrayal', 'jesus', 'like', 'movies', 'life', 'jesus', 'lord', 'savior', 'portrayed', 'somber', 'terms', 'almost', 'inhuman', 'way', 'real', 'life', 'jesus', 'one', 'us', 'part', 'man', 'part', 'god', 'without', 'sin', 'fully', 'enjoying', 'time', 'earth', 'story', 'line', 'execptionally', 'accurate', 'unlike', 'tellings', 'gospel', 'deal', 'jesus', 'character', 'seems', 'removed', 'surroundings', 'movie', 'great', 'buy']",Great telling of the Book of Luke
309,4,{'Format:': ' DVD'},"['jesus', 'film', 'true', 'gospel', 'luke', 'good', 'bad', 'sticks', 'close', 'gospel', 'luke', 'avoids', 'hollywood', 'straying', 'jesus', 'films', 'undertake', 'however', 'closely', 'tied', 'luke', 'crown', 'thorns', 'head', 'jesus', 'mentioned', 'luke', 'stickler', 'accuracy', 'think', 'best', 'jesus', 'film', 'available', 'even', 'without', 'crown', 'thorns']",According to Luke
310,3,{'Format:': ' DVD'},"['movie', 'made', 'genesis', 'project', 'released', 'theaters', 'nationwide', 'early', '80', 'unfornuately', 'boring', 'directing', 'novice', 'caliber', 'acting', 'forgetful', 'based', 'gospel', 'luke', 'fails', 'give', 'emotional', 'impact', 'know', 'wanted', 'make', 'great', 'film', 'instead', 'made', 'uninspiring', 'account', 'life', 'christ', 'movie', 'hailed', 'many', 'layity', 'pastors', 'great', 'witnessing', 'tool', 'true', 'movie', 'accomplished', 'something', 'good', 'however', 'find', 'hard', 'believe', 'anyone', 'set', 'without', 'falling', 'asleep', 'read', 'gospel', 'luke', 'instead', 'watch', 'jesus', 'nazareth', 'must', 'watch', 'gospel', 'movie', 'movie', 'however', 'better', 'king', 'kings', 'equal', 'footing', 'greatest', 'story', 'ever', 'told', 'enterianment', 'value']","3 Stars for Accuracy,  Poorly Done - Read Luke Instead"
311,4,{'Format:': ' VHS Tape'},"['stories', 'jesus', 'conception', 'birth', 'recorded', 'gospels', 'matthew', 'luke', 'movie', 'based', 'luke', 'account', 'story', 'begins', 'prologue', 'summarize', 'jesus', 'life', 'child', 'bring', 'story', 'focus', 'john', 'heyman', 'researched', 'film', 'five', 'years', 'filmed', '200', 'locations', 'holy', 'land', 'one', 'billion', 'people', 'viewed', 'work', 'translated', '425', 'languages', 'shown', '225', 'countries', 'epic', 'story', 'controversial', 'life', 'human', 'history', 'could', 'barely', 'covered', 'one', 'movie', 'overview', 'jesus', 'life', '83', 'minutes', 'story', 'make', 'want', 'know', 'man', 'walked', 'earth', 'knowing', 'would', 'die', 'give', 'man', 'ultimate', 'gift', 'eternal', 'life', 'throughout', 'movie', 'jesus', 'speaks', 'parables', 'teach', 'followers', 'truth', 'calls', 'disciples', 'empowers', 'convey', 'god', 'messages', 'wider', 'audience', 'jesus', 'miracles', 'movie', 'included', 'feeding', '5', '000', 'calming', 'storm', 'raising', 'jairus', 'daughter', 'giving', 'site', 'blind', 'last', 'supper', 'portrayed', 'betrayal', 'arrest', 'jesus', 'starts', 'make', 'movie', 'dramatic', 'movie', 'briefly', 'touches', 'trials', 'draws', 'emotional', 'aspects', 'jesus', 'crucifixion', 'triumphs', 'death', 'raised', 'dead', 'appears', 'bodily', 'form', 'show', 'indeed', 'alive', 'story', 'ends', 'jesus', 'ascending', 'clouds', 'recommend', 'movie', 'want', 'know', 'leave', 'world', 'alive', 'movie', 'left', 'feeling', 'love', 'jesus', 'christ', 'gave', 'life', 'us', 'spend', 'eternity', 'heaven', 'creator', 'god', 'rebecca', 'review']",The man who changed the face of history...
312,2,{'Format:': ' DVD'},"['mostly', 'biblically', 'accurate', 'nevertheless', 'lackluster', 'telling', 'obviously', 'low', 'budget', 'dramatic', 'emotional', 'scene', 'mary', 'magdalene', 'tears', 'fell', 'jesus', 'feet', 'wiped', 'hair', 'scourging', 'scene', 'lacked', 'impact', 'probably', 'horrify', 'audience', 'according', 'evidence', 'holy', 'shroud', 'turin', 'witness', 'several', 'catholic', 'mystics', 'scourging', 'absolutely', 'heart', 'rending', 'horror', 'course', 'obvious', 'protestant', 'production', 'gave', 'short', 'shrift', 'jesus', 'mother', 'mary', 'maybe', 'chose', 'luke', 'instead', 'using', 'material', 'matthew', 'mark', 'john', 'guess', 'looking', 'good', 'catholic', 'rendering', 'good', 'catholic', '100', '000', '000', 'possibly', 'less', 'ready', 'right']","Inadequate acting, very bland!"
313,1,{'Format:': ' VHS Tape'},"['lame', 'songs', 'terrible', 'villan', 'ripoff', 'mr', 'burns', 'simpsons', 'kids', 'look', 'like', 'loan', 'charlie', 'brown', 'show', 'biggest', 'lowpoint', 'politically', 'correct', 'ranting', 'bad', 'cbs', 'insists', 'running', 'back', 'back', '1969', 'classic']",Worst Christmas special ever!
314,2,{'Format:': ' VHS Tape'},"['frosty', 'returns', 'epitome', 'classics', '60s', '70s', 'need', 'remade', 'although', 'jonathan', 'winters', 'respectable', 'job', 'narrator', 'story', 'suffers', 'politically', 'correct', 'environmentalism', 'de', 'christianization', 'christmas', 'none', 'necessary', 'detracts', 'story', 'furthermore', 'artistic', 'continuity', 'original', 'frosty', 'none', 'characters', 'depicted', 'original', 'form', 'computer', 'aided', 'animation', 'really', 'add', 'anything', 'either', 'disappointed', 'episode', 'included', 'frosty', 'dvd', 'true', 'worthy', 'sequel', 'original', 'frosty', 'frosty', 'winter', 'wonderland', 'watch', 'instead', 'much', 'better', 'one']","Frosty goes PC, with poor results"
315,4,{'Format:': ' VHS Tape'},"['long', 'know', 'buy', 'frosty', 'returns', 'sequel', 'frosty', 'snowman', 'see', 'without', 'complaint', 'different', 'story', 'nothing', 'original', 'frosty', 'tv', 'special', 'first', 'made', 'different', 'studio', 'different', 'animators', 'directors', 'voices', 'director', 'bill', 'melendez', 'directed', 'charlie', 'brown', 'snoopy', 'peanuts', 'specials', 'looks', 'like', 'peanuts', 'cartoon', 'made', '1992', 'voice', 'acting', 'features', 'jonathon', 'winters', 'john', 'goodman', 'frosty', 'songs', 'original', 'pretty', 'fun', 'plot', 'centered', 'folks', 'town', 'want', 'clean', 'streets', 'winter', 'getting', 'snow', 'removed', 'kids', 'frosty', 'panic', 'fight', 'back', 'else', 'lose', 'snow', 'fun', 'snow', 'men', 'approach', 'show', 'knowing', 'sequel', 'team', 'made', 'peanuts', 'shows', 'ok', 'also', 'interested', 'real', 'sequel', 'studio', 'made', 'first', 'hour', 'long', 'frosty', 'special', 'first', 'aired', 'cbs', 'television', '1969', 'rankin', 'bass', 'productions', 'kings', 'holiday', 'specials', 'show', 'based', 'original', 'song', 'written', '1951', 'steve', 'nelson', 'jack', 'rollins', 'studio', 'made', 'terrific', 'half', 'hour', 'sequel', '1976', 'abc', 'television', 'titled', 'frosty', 'winter', 'wonderland', 'special', 'starts', 'right', 'first', 'one', 'left', 'basic', 'premise', 'story', 'frosty', 'gets', 'wife', 'named', 'crystal', 'played', 'shelley', 'winters', 'sabotaged', 'jealous', 'jack', 'frost', 'character', 'design', 'paul', 'coker', 'jr', 'work', 'first', 'special', 'visual', 'continuity', 'works', 'well', 'characters', 'classic', 'rankin', 'bass', 'look', 'also', 'unique', 'lettering', 'credits', 'specials', 'famous', 'voice', 'actor', 'paul', 'frees', 'stars', 'jack', 'frost', 'policeman', 'frees', 'regular', 'studio', 'productions', 'also', 'voiced', 'policeman', 'ticket', 'seller', 'santa', 'claus', 'original', 'jackie', 'vernon', 'voiced', 'frosty', 'like', 'writer', 'rankin', 'bass', 'shows', 'romeo', 'muller', 'maury', 'laws', 'returned', 'musical', 'director', 'interestingly', 'rankin', 'bassis', 'known', 'high', 'quality', 'original', 'songs', 'used', 'christmas', 'standards', 'sequel', 'major', 'change', 'sequel', 'original', 'big', 'one', 'narrator', 'unsettling', 'watch', 'back', 'back', 'first', 'show', 'narrated', 'sung', 'jimmy', 'durante', 'second', 'time', 'voice', 'talents', 'andy', 'griffith', 'nothing', 'andy', 'big', 'change', 'another', 'sequel', 'another', 'sequel', 'sorts', 'made', 'rankin', 'bass', 'production', 'team', 'theatrical', 'feature', 'length', 'movie', 'released', '1979', 'titled', 'rudolph', 'frosty', 'christmas', 'july']","Not the real Frosty sequel- see ""Frosty's Winter Wonderland"" for real sequel"
316,4,{'Format:': ' Amazon Video'},"['oldie', 'goodie', 'one', 'christmas', 'classics', 'watch', 'every', 'year', 'nice', 'watch', 'want', 'instead', 'depend', 'national', 'television', 'channel']",This is one of the Christmas classics that I have to watch every year and it's nice to own it so I can watch it when ...
317,4,{'Format:': ' DVD'},"['bought', 'watch', 'family', 'near', 'christmas', 'love', 'animation', 'characters', 'story', 'got', 'ta', 'love', 'christmas', 'classic', 'animations', 'good']",Classic Christmas for the kids
319,4,{'Format:': ' DVD'},"['great', 'price', 'good', 'quality', 'dvd', 'enjoyed', 'watching', 'movie', 'another', 'favorite', 'holiday', 'list']",Four Stars
